TIMEDATE;Open;Close;High;Low;Volume
2021.08.12 00:01;290.3;293.23;293.81;290.25;60665
2021.08.13 00:01;292.7;292.7;293.9;291.75;45591
2021.08.16 00:01;291.47;295.1;295.48;290.95;61771
2021.08.17 00:01;295.13;298.32;299.5;290.32;85417
2021.08.18 00:01;299.0;295.05;299.95;295.0;58806
2021.08.19 00:01;293.46;293.68;294.72;289.68;87284
2021.08.20 00:01;293.8;292.57;294.9;289.5;63307
2021.08.23 00:01;294.7;297.69;297.94;294.1;60846
2021.08.24 00:01;299.0;298.7;301.0;295.95;69636
2021.08.25 00:01;298.7;296.7;299.2;294.37;53384
2021.08.26 00:01;296.0;294.34;296.0;293.04;43825
2021.08.27 00:01;295.8;299.66;300.0;294.81;57311
2021.08.30 00:01;301.7;304.3;305.5;299.97;88368
