TIMEDATE;Ask;Bid;Ask_1;Bid_1;Ask_2;Bid_2;Ask_3;Bid_3;Open;Close;High;Low;Volume
2021.08.05 09:59;287.35;287.33;287.91;287.88;286.77;286.75;287.96;287.88;287.33;285.95;288.28;285.16;68915.0
2021.08.06 09:59;285.27;285.26;287.35;287.33;287.91;287.88;286.77;286.75;285.26;282.27;285.72;277.87;143589.0
2021.08.09 09:59;282.27;282.25;285.27;285.26;287.35;287.33;287.91;287.88;282.25;286.68;287.9;280.8;102052.0
2021.08.10 09:59;288.01;288.0;282.27;282.25;285.27;285.26;287.35;287.33;288.0;288.61;288.8;285.7;69878.0
2021.08.11 09:59;289.02;288.97;288.01;288.0;282.27;282.25;285.27;285.26;288.97;290.35;291.49;287.12;59890.0
2021.08.12 09:59;290.31;290.3;289.02;288.97;288.01;288.0;282.27;282.25;290.3;293.23;293.81;290.25;60665.0
2021.08.13 09:59;292.75;292.7;290.31;290.3;289.02;288.97;288.01;288.0;292.7;292.7;293.9;291.75;45591.0
2021.08.16 09:59;291.49;291.47;292.75;292.7;290.31;290.3;289.02;288.97;291.47;295.1;295.48;290.95;61771.0
2021.08.17 09:59;295.16;295.13;291.49;291.47;292.75;292.7;290.31;290.3;295.13;298.32;299.5;290.32;85417.0
2021.08.18 09:59;299.1;299.0;295.16;295.13;291.49;291.47;292.75;292.7;299.0;295.05;299.95;295.0;58806.0
2021.08.19 09:59;293.47;293.46;299.1;299.0;295.16;295.13;291.49;291.47;293.46;293.68;294.72;289.68;87284.0
2021.08.20 09:59;293.81;293.8;293.47;293.46;299.1;299.0;295.16;295.13;293.8;292.57;294.9;289.5;63307.0
2021.08.23 09:59;294.71;294.7;293.81;293.8;293.47;293.46;299.1;299.0;294.7;297.69;297.94;294.1;60846.0
2021.08.24 09:59;299.02;299.0;294.71;294.7;293.81;293.8;293.47;293.46;299.0;298.7;301.0;295.95;69636.0
