TIMEDATE;Open;Close;High;Low;Volume
2021.08.16 00:01;421.55;428.8;428.9;421.15;3695
2021.08.17 00:01;425.05;426.5;429.7;424.8;6792
2021.08.18 00:01;429.8;427.2;429.8;425.95;1959
2021.08.19 00:01;424.95;415.8;425.3;415.8;7362
2021.08.20 00:01;418.0;417.8;419.65;416.0;3836
2021.08.23 00:01;419.85;425.5;427.2;419.5;4505
2021.08.24 00:01;427.4;423.9;427.75;423.6;3537
2021.08.25 00:01;425.9;428.05;429.65;424.1;3354
2021.08.26 00:01;428.05;420.7;432.3;420.4;4585
2021.08.27 00:01;425.3;425.45;426.0;421.8;2315
2021.08.30 00:01;425.6;429.45;431.0;425.6;7237
2021.08.31 00:01;430.1;426.1;431.7;425.1;3040
2021.09.01 00:01;428.85;428.75;430.8;426.95;301
