TIMEDATE;Open;Close;High;Low;Volume
2021.08.16 00:01;1722.8;1773.4;1795.0;1718.0;30672
2021.08.17 00:01;1778.6;1798.2;1813.8;1761.4;27953
2021.08.18 00:01;1809.2;1781.2;1815.4;1770.0;20759
2021.08.19 00:01;1773.0;1763.6;1781.4;1727.6;31636
2021.08.20 00:01;1773.0;1733.0;1774.2;1705.6;17949
2021.08.23 00:01;1745.0;1754.6;1758.8;1733.2;14242
2021.08.24 00:01;1756.0;1734.6;1759.8;1725.0;17108
2021.08.25 00:01;1731.0;1711.0;1741.4;1702.6;18538
2021.08.26 00:01;1705.4;1684.8;1720.6;1675.8;19347
2021.08.27 00:01;1688.0;1723.8;1723.8;1681.2;23684
2021.08.30 00:01;1725.0;1745.6;1762.0;1721.4;22931
2021.08.31 00:01;1750.0;1725.2;1755.2;1715.2;30054
2021.09.01 00:01;1731.0;1755.0;1755.8;1731.0;2279
