TIMEDATE;Open;Close;High;Low;Volume
2021.08.16 00:01;556.75;564.4;567.65;551.5;36681
2021.08.17 00:01;562.95;555.0;563.0;552.9;28772
2021.08.18 00:01;557.8;546.95;559.9;542.25;21000
2021.08.19 00:01;544.0;537.8;547.75;531.45;39645
2021.08.20 00:01;537.5;534.0;538.35;530.1;15532
2021.08.23 00:01;538.0;544.85;545.45;536.1;13720
2021.08.24 00:01;545.9;545.0;549.55;539.25;19744
2021.08.25 00:01;544.5;538.5;545.75;536.55;17082
2021.08.26 00:01;538.0;531.7;538.85;531.5;17960
2021.08.27 00:01;533.5;537.8;538.2;533.1;12367
2021.08.30 00:01;539.5;539.3;540.95;536.35;14921
2021.08.31 00:01;540.0;533.6;540.4;531.55;21363
2021.09.01 00:01;537.1;538.2;539.6;534.8;3031
